iter	Logloss
0	0.6879367584
1	0.683814314
2	0.6800127283
3	0.6748694401
4	0.6703443921
5	0.6658063234
6	0.6621528364
7	0.657643423
8	0.65264549
9	0.6491011967
10	0.6444123748
11	0.6406516663
12	0.6369286662
13	0.633229447
14	0.6313200421
15	0.62648997
16	0.6234180412
17	0.6204318206
18	0.616523963
19	0.6126404416
20	0.6100316074
21	0.6067916894
22	0.6038138557
23	0.6000848286
24	0.5968054717
25	0.5931049125
26	0.5909371345
27	0.5878241272
28	0.5836460155
29	0.5801005915
30	0.5759633091
31	0.5739537678
32	0.5710917333
33	0.567907504
34	0.5650139812
35	0.562024444
36	0.5595692856
37	0.5568531494
38	0.5535729085
39	0.550532384
40	0.5477371965
41	0.5448375468
42	0.5419170943
43	0.5383855171
44	0.536048629
45	0.5336935397
46	0.5309075958
47	0.5282650701
48	0.5254787694
49	0.5232341614
50	0.5201019558
51	0.5173406168
52	0.5148182882
53	0.5118446103
54	0.5099306136
55	0.5069814203
56	0.5048412132
57	0.5029932325
58	0.5006736391
59	0.4981192514
60	0.4958736068
61	0.4944275538
62	0.4917001791
63	0.4885326864
64	0.4861095741
65	0.4839789652
66	0.4823794602
67	0.4803987076
68	0.4788172527
69	0.4765584726
70	0.4742538113
71	0.4719749823
72	0.4695745895
73	0.4677922167
74	0.4657748844
75	0.4633037366
76	0.4616663703
77	0.4591164782
78	0.4582339965
79	0.4560635124
80	0.4548664142
81	0.452986186
82	0.4514952992
83	0.4490269719
84	0.4468794492
85	0.4449836204
86	0.4431606363
87	0.4418603696
88	0.439863616
89	0.4377304711
90	0.4359665184
91	0.4339091713
92	0.4327323046
93	0.4306460436
94	0.4286030813
95	0.4270428033
96	0.4265290152
97	0.4250811531
98	0.4230842392
99	0.4215694295
100	0.4195097057
101	0.4181707331
102	0.4162333477
103	0.414799851
104	0.4132170158
105	0.4122324742
106	0.4106775399
107	0.4088263096
108	0.4071292892
109	0.4058042651
110	0.4040643175
111	0.4032703138
112	0.4019272679
113	0.400383376
114	0.3991379951
115	0.3980900484
116	0.397023107
117	0.3955520936
118	0.3941403484
119	0.3927645659
120	0.3909202953
121	0.3896062923
122	0.3878097727
123	0.3865716497
124	0.3851887942
125	0.3836588489
126	0.3820073684
127	0.3810334087
128	0.3803778971
129	0.3787037822
130	0.3774181832
131	0.3759215605
132	0.3747109867
133	0.3733532453
134	0.3723317993
135	0.3710848607
136	0.3694318103
137	0.3681200797
138	0.3669342094
139	0.3655221734
140	0.3643111183
141	0.3631235228
142	0.3622668962
143	0.3608686934
144	0.3597712492
145	0.358294392
146	0.3570654402
147	0.3560656077
148	0.3550835902
149	0.353721445
150	0.3523163978
151	0.3515352317
152	0.3507784343
153	0.3499716901
154	0.3485701193
155	0.3479409292
156	0.3472268839
157	0.346057876
158	0.3448049844
159	0.3437612512
160	0.3428481901
161	0.3419669199
162	0.3411046549
163	0.3399139791
164	0.3386059243
165	0.3377558611
166	0.3365128772
167	0.3355068206
168	0.3345799377
169	0.3335144594
170	0.3325353999
171	0.3316790672
172	0.3310273678
173	0.3298998458
174	0.3294998452
175	0.3286390181
176	0.3281174864
177	0.3271523477
178	0.3265150919
179	0.3257861029
180	0.3251476144
181	0.3244727044
182	0.3234437912
183	0.3222539865
184	0.3212646844
185	0.3204526773
186	0.3192038145
187	0.3183739631
188	0.3178002295
